,gender,age,education,activity_work,educational_level,voted,party,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp
16468,Male,36,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,9,8,6,6,6,7,7,8,3,8,5
16469,Male,48,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,7,8,6,7,7,7,7,8,6,8,6
16470,Male,59,17.0,1,highly_educated,1,Green Left,7,8,7,6,6,6,6,6,6,7,8,8
16471,Female,46,9.0,1,mid_educated,1,People's Party for Freedom and Democracy,5,3,5,3,4,88,5,3,5,3,2,2
16472,Female,80,3.0,6,lower_educated,2,Not applicable*,4,3,4,4,4,4,4,8,5,9,9,5
16473,Female,40,14.0,1,highly_educated,1,Democrats '66,6,5,7,4,5,6,6,7,7,8,7,6
16474,Female,50,14.0,1,highly_educated,1,Don't know*,6,7,9,6,6,5,7,7,7,2,10,8
16475,Female,62,10.0,1,mid_educated,1,Party for Freedom,3,1,5,1,1,1,1,3,3,3,8,2
16476,Female,33,17.0,1,highly_educated,1,Party for the Animals,88,4,7,1,1,88,88,7,6,6,4,1
16477,Female,90,4.0,6,lower_educated,1,Labour Party,3,5,7,6,6,7,7,6,5,7,0,0
16478,Female,63,10.0,1,mid_educated,1,Socialist Party,5,6,6,4,4,4,6,8,8,8,8,0
16479,Male,999,3.0,1,lower_educated,1,JA21,1,7,7,1,5,1,7,5,8,5,3,2
16480,Male,90,3.0,6,lower_educated,1,Christian Democratic Appeal,7,8,8,6,6,6,6,7,8,7,7,7
16481,Male,25,16.0,1,highly_educated,1,Green Left,4,7,2,3,3,5,5,5,3,1,8,6
16482,Male,33,14.0,1,highly_educated,2,Not applicable*,4,6,9,5,6,6,7,0,3,1,7,2
16483,Female,79,11.0,6,mid_educated,1,Christian Union,7,8,6,7,7,7,7,7,7,7,8,8
16484,Female,76,14.0,6,highly_educated,1,People's Party for Freedom and Democracy,6,7,7,6,6,7,7,7,8,7,8,6
16485,Female,44,13.0,1,highly_educated,1,Socialist Party,2,4,6,4,4,5,4,7,6,3,5,7
16486,Female,40,16.0,8,highly_educated,1,DENK,1,7,7,1,1,4,4,7,6,2,5,3
16487,Male,45,10.0,1,mid_educated,1,Labour Party,7,9,9,7,7,6,6,8,8,6,6,6
16488,Male,33,16.0,1,highly_educated,1,Christian Democratic Appeal,5,8,8,5,4,3,7,7,7,7,7,3
16489,Female,17,4.0,2,lower_educated,3,Not applicable*,3,6,6,4,4,4,5,4,4,5,4,4
16490,Female,86,3.0,6,lower_educated,2,Not applicable*,6,5,5,5,5,5,5,8,7,8,8,7
