,gender,age,education,activity_work,educational_level,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
16468,Male,36.0,14.0,1.0,highly_educated,1.0,1.0,1,1.0,3,7.0,8.0,9.0,8.0,6.0,6.0,6.0,7.0
16469,Male,48.0,14.0,1.0,highly_educated,1.0,1.0,2,66.0,6,6.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0
16470,Male,59.0,17.0,1.0,highly_educated,1.0,8.0,1,2.0,2,3.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0
16471,Female,46.0,9.0,1.0,mid_educated,1.0,1.0,1,17.0,2,9.0,5.0,3.0,5.0,3.0,4.0,,5.0
16472,Female,80.0,3.0,6.0,lower_educated,2.0,,2,66.0,6,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
16473,Female,40.0,14.0,1.0,highly_educated,1.0,6.0,2,66.0,6,6.0,6.0,5.0,7.0,4.0,5.0,6.0,6.0
16474,Female,50.0,14.0,1.0,highly_educated,1.0,,1,17.0,1,7.0,6.0,7.0,9.0,6.0,6.0,5.0,7.0
16475,Female,62.0,10.0,1.0,mid_educated,1.0,3.0,1,3.0,2,8.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0
16476,Female,33.0,17.0,1.0,highly_educated,1.0,10.0,2,66.0,6,2.0,,4.0,7.0,1.0,1.0,,
16477,Female,90.0,4.0,6.0,lower_educated,1.0,2.0,2,66.0,6,7.0,3.0,5.0,7.0,6.0,6.0,7.0,7.0
16478,Female,63.0,10.0,1.0,mid_educated,1.0,4.0,2,66.0,6,6.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0
16479,Male,,3.0,1.0,lower_educated,1.0,16.0,1,16.0,2,10.0,1.0,7.0,7.0,1.0,5.0,1.0,7.0
16480,Male,90.0,3.0,6.0,lower_educated,1.0,5.0,1,5.0,1,8.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0
16481,Male,25.0,16.0,1.0,highly_educated,1.0,8.0,2,66.0,6,3.0,4.0,7.0,2.0,3.0,3.0,5.0,5.0
16482,Male,33.0,14.0,1.0,highly_educated,2.0,,1,2.0,2,4.0,4.0,6.0,9.0,5.0,6.0,6.0,7.0
16483,Female,79.0,11.0,6.0,mid_educated,1.0,7.0,2,66.0,6,3.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0
16484,Female,76.0,14.0,6.0,highly_educated,1.0,1.0,2,66.0,6,7.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0
16485,Female,44.0,13.0,1.0,highly_educated,1.0,4.0,2,66.0,6,4.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0
16486,Female,40.0,16.0,8.0,highly_educated,1.0,12.0,1,12.0,1,1.0,1.0,7.0,7.0,1.0,1.0,4.0,4.0
16487,Male,45.0,10.0,1.0,mid_educated,1.0,2.0,1,2.0,2,4.0,7.0,9.0,9.0,7.0,7.0,6.0,6.0
16488,Male,33.0,16.0,1.0,highly_educated,1.0,5.0,2,66.0,6,6.0,5.0,8.0,8.0,5.0,4.0,3.0,7.0
16489,Female,17.0,4.0,2.0,lower_educated,3.0,,2,66.0,6,5.0,3.0,6.0,6.0,4.0,4.0,4.0,5.0
16490,Female,86.0,3.0,6.0,lower_educated,2.0,,1,2.0,2,,6.0,5.0,5.0,5.0,5.0,5.0,5.0
16491,Male,34.0,18.0,1.0,highly_educated,1.0,6.0,1,6.0,2,3.0,8.0,10.0,9.0,7.0,6.0,7.0,8.0
16492,Female,81.0,3.0,8.0,lower_educated,1.0,3.0,2,66.0,6,,0.0,2.0,7.0,3.0,9.0,1.0,1.0
16493,Male,21.0,10.0,4.0,mid_educated,1.0,13.0,2,66.0,6,3.0,5.0,8.0,9.0,4.0,5.0,5.0,6.0
16494,Female,74.0,4.0,6.0,lower_educated,1.0,2.0,2,66.0,6,5.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0
16495,Female,23.0,17.0,1.0,highly_educated,1.0,6.0,2,66.0,6,4.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0
16496,Male,56.0,16.0,9.0,highly_educated,1.0,5.0,1,5.0,2,6.0,6.0,8.0,7.0,5.0,5.0,4.0,7.0
16497,Female,50.0,10.0,1.0,mid_educated,1.0,10.0,2,66.0,6,0.0,3.0,6.0,7.0,3.0,3.0,5.0,5.0
16498,Male,61.0,14.0,1.0,highly_educated,1.0,2.0,1,2.0,2,3.0,7.0,9.0,8.0,6.0,6.0,6.0,8.0
16499,Female,75.0,4.0,6.0,lower_educated,1.0,7.0,1,7.0,2,5.0,4.0,7.0,7.0,5.0,6.0,,5.0
16500,Male,32.0,6.0,1.0,mid_educated,1.0,,2,66.0,6,,8.0,7.0,8.0,7.0,,,
16501,Male,48.0,14.0,8.0,highly_educated,1.0,7.0,1,7.0,2,4.0,7.0,8.0,9.0,5.0,6.0,6.0,6.0
16502,Female,41.0,10.0,1.0,mid_educated,3.0,,2,66.0,6,6.0,8.0,8.0,9.0,7.0,7.0,8.0,7.0
16503,Male,53.0,17.0,9.0,highly_educated,1.0,13.0,1,13.0,2,5.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0
16504,Female,18.0,4.0,1.0,lower_educated,3.0,,1,7.0,1,1.0,6.0,7.0,9.0,7.0,5.0,7.0,6.0
