,age,education,activity_work,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gender,educational_level,political_trust
16468,36.0,14.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,8.0,9.0,8.0,6.0,6.0,6.0,7.0,9.0,4.0,4.0,8.0,8.0,7.0,Male,highly_educated,6.0
16469,48.0,14.0,1.0,1.0,1.0,2.0,66.0,6.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,Male,highly_educated,7.0
16470,59.0,17.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,6.0,7.0,Male,highly_educated,6.0
16471,46.0,9.0,1.0,1.0,17.0,1.0,17.0,2.0,9.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,8.0,5.0,5.0,5.0,4.0,5.0,Female,mid_educated,4.0
16472,80.0,3.0,6.0,2.0,3.4,2.0,66.0,6.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,3.0,4.0,5.0,8.0,Female,lower_educated,4.0
16473,40.0,14.0,1.0,1.0,6.0,2.0,66.0,6.0,6.0,6.0,5.0,7.0,4.0,5.0,6.0,6.0,9.0,7.0,5.0,7.0,6.0,4.0,Female,highly_educated,5.0
16474,50.0,14.0,1.0,1.0,17.0,1.0,17.0,1.0,7.0,6.0,7.0,9.0,6.0,6.0,5.0,7.0,7.0,6.0,4.0,6.0,7.0,8.0,Female,highly_educated,6.0
16475,62.0,10.0,1.0,1.0,3.0,1.0,3.0,2.0,8.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,5.0,4.0,4.0,Female,mid_educated,2.0
16476,33.0,17.0,1.0,1.0,10.0,2.0,66.0,6.0,2.0,5.0,4.0,7.0,1.0,1.0,5.0,6.0,9.0,3.0,5.0,7.0,5.0,4.0,Female,highly_educated,3.0
16477,90.0,4.0,6.0,1.0,2.0,2.0,66.0,6.0,7.0,3.0,5.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,5.0,6.0,6.0,5.0,Female,lower_educated,6.0
16478,63.0,10.0,1.0,1.0,4.0,2.0,66.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,8.0,6.0,0.0,0.0,6.0,0.0,Female,mid_educated,4.0
16479,49.0,3.0,1.0,1.0,16.0,1.0,16.0,2.0,10.0,1.0,7.0,7.0,1.0,5.0,1.0,7.0,8.0,2.0,1.0,5.0,7.0,5.0,Male,lower_educated,2.0
16480,90.0,3.0,6.0,1.0,5.0,1.0,5.0,1.0,8.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,8.0,7.0,6.0,6.0,7.0,7.0,Male,lower_educated,6.0
16481,25.0,16.0,1.0,1.0,8.0,2.0,66.0,6.0,3.0,4.0,7.0,2.0,3.0,3.0,5.0,5.0,6.0,3.0,5.0,8.0,8.0,7.0,Male,highly_educated,4.0
16482,33.0,14.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,6.0,9.0,5.0,6.0,6.0,7.0,8.0,3.0,4.0,3.0,3.0,1.0,Male,highly_educated,5.0
16483,79.0,11.0,6.0,1.0,7.0,2.0,66.0,6.0,3.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,6.0,9.0,Female,mid_educated,7.0
16484,76.0,14.0,6.0,1.0,1.0,2.0,66.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,Female,highly_educated,6.0
16485,44.0,13.0,1.0,1.0,4.0,2.0,66.0,6.0,4.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,8.0,6.0,2.0,2.0,4.0,2.0,Female,highly_educated,4.0
16486,40.0,16.0,8.0,1.0,12.0,1.0,12.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,4.0,4.0,8.0,1.0,5.0,6.0,1.0,3.0,Female,highly_educated,2.0
16487,45.0,10.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,7.0,9.0,9.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,8.0,Male,mid_educated,7.0
16488,33.0,16.0,1.0,1.0,5.0,2.0,66.0,6.0,6.0,5.0,8.0,8.0,5.0,4.0,3.0,7.0,9.0,3.0,4.0,6.0,8.0,7.0,Male,highly_educated,4.0
16489,17.0,4.0,2.0,3.0,11.2,2.0,66.0,6.0,5.0,3.0,6.0,6.0,4.0,4.0,4.0,5.0,8.0,5.0,3.0,6.0,6.0,6.0,Female,lower_educated,4.0
16490,86.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,4.6,6.0,5.0,5.0,5.0,5.0,5.0,5.0,7.4,4.0,5.0,5.0,7.0,7.0,Female,lower_educated,5.0
16491,34.0,18.0,1.0,1.0,6.0,1.0,6.0,2.0,3.0,8.0,10.0,9.0,7.0,6.0,7.0,8.0,10.0,7.0,4.0,8.0,7.0,8.0,Male,highly_educated,7.0
16492,81.0,3.0,8.0,1.0,3.0,2.0,66.0,6.0,5.8,0.0,2.0,7.0,3.0,9.0,1.0,1.0,9.0,3.0,3.0,3.0,5.0,6.0,Female,lower_educated,3.0
16493,21.0,10.0,4.0,1.0,13.0,2.0,66.0,6.0,3.0,5.0,8.0,9.0,4.0,5.0,5.0,6.0,9.0,7.0,7.0,9.0,7.0,10.0,Male,mid_educated,5.0
16494,74.0,4.0,6.0,1.0,2.0,2.0,66.0,6.0,5.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,3.0,6.0,6.0,6.0,9.0,Female,lower_educated,7.0
16495,23.0,17.0,1.0,1.0,6.0,2.0,66.0,6.0,4.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,3.0,4.0,3.0,4.0,8.0,Female,highly_educated,6.0
16496,56.0,16.0,9.0,1.0,5.0,1.0,5.0,2.0,6.0,6.0,8.0,7.0,5.0,5.0,4.0,7.0,8.0,6.0,5.0,7.0,5.0,7.0,Male,highly_educated,5.0
16497,50.0,10.0,1.0,1.0,10.0,2.0,66.0,6.0,0.0,3.0,6.0,7.0,3.0,3.0,5.0,5.0,9.0,3.0,0.0,8.0,8.0,7.0,Female,mid_educated,4.0
16498,61.0,14.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,7.0,9.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,5.0,7.0,7.0,8.0,Male,highly_educated,6.0
16499,75.0,4.0,6.0,1.0,7.0,1.0,7.0,2.0,5.0,4.0,7.0,7.0,5.0,6.0,4.0,5.0,8.0,5.0,4.0,7.0,5.0,6.0,Female,lower_educated,5.0
16500,32.0,6.0,1.0,1.0,3.0,2.0,66.0,6.0,4.2,8.0,7.0,8.0,7.0,6.0,6.0,7.0,8.4,6.0,8.0,7.0,9.0,8.0,Male,mid_educated,7.0
16501,48.0,14.0,8.0,1.0,7.0,1.0,7.0,2.0,4.0,7.0,8.0,9.0,5.0,6.0,6.0,6.0,9.0,6.0,5.0,8.0,7.0,5.0,Male,highly_educated,6.0
16502,41.0,10.0,1.0,3.0,4.6,2.0,66.0,6.0,6.0,8.0,8.0,9.0,7.0,7.0,8.0,7.0,10.0,9.0,9.0,9.0,6.0,10.0,Female,mid_educated,8.0
16503,53.0,17.0,9.0,1.0,13.0,1.0,13.0,2.0,5.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,Male,highly_educated,2.0
16504,18.0,4.0,1.0,3.0,7.0,1.0,7.0,1.0,1.0,6.0,7.0,9.0,7.0,5.0,7.0,6.0,5.0,0.0,7.0,6.0,6.0,7.0,Female,lower_educated,6.0
16505,46.0,10.0,1.0,2.0,6.0,1.0,6.0,2.0,3.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,6.0,4.0,7.0,Female,mid_educated,6.0
16506,85.0,18.0,6.0,1.0,77.0,1.0,77.0,6.0,4.0,6.0,8.0,7.0,6.0,7.0,4.0,5.0,8.0,7.0,7.0,8.0,8.0,9.0,Male,highly_educated,6.0
