,respondent,age,education,activity_work,voted,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp,gender,educational_level,political_trust
0,16468.0,36.0,14.0,1.0,1.0,8.0,9.0,8.0,6.0,6.0,6.0,7.0,7.0,8.0,3.0,8.0,5.0,Male,highly_educated,6.5
1,16469.0,48.0,14.0,1.0,1.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,Male,highly_educated,6.75
2,16470.0,59.0,17.0,1.0,1.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,Male,highly_educated,6.25
3,16471.0,46.0,9.0,1.0,1.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,2.0,2.0,Female,mid_educated,4.25
4,16472.0,80.0,3.0,6.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,8.0,5.0,9.0,9.0,5.0,Female,lower_educated,4.0
5,16473.0,40.0,14.0,1.0,1.0,6.0,5.0,7.0,4.0,5.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,Female,highly_educated,5.25
6,16474.0,50.0,14.0,1.0,1.0,6.0,7.0,9.0,6.0,6.0,5.0,7.0,7.0,7.0,2.0,10.0,8.0,Female,highly_educated,5.75
7,16475.0,62.0,10.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,8.0,2.0,Female,mid_educated,1.5
8,16476.0,33.0,17.0,1.0,1.0,5.4,4.0,7.0,1.0,1.0,5.2,6.4,7.0,6.0,6.0,4.0,1.0,Female,highly_educated,3.1500000000000004
9,16477.0,90.0,4.0,6.0,1.0,3.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,5.0,7.0,0.0,0.0,Female,lower_educated,5.5
10,16478.0,63.0,10.0,1.0,1.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,0.0,Female,mid_educated,4.25
11,16479.0,61.2,3.0,1.0,1.0,1.0,7.0,7.0,1.0,5.0,1.0,7.0,5.0,8.0,5.0,3.0,2.0,Male,lower_educated,2.0
12,16480.0,90.0,3.0,6.0,1.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,Male,lower_educated,6.25
13,16481.0,25.0,16.0,1.0,1.0,4.0,7.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,1.0,8.0,6.0,Male,highly_educated,3.75
14,16482.0,33.0,14.0,1.0,2.0,4.0,6.0,9.0,5.0,6.0,6.0,7.0,0.0,3.0,1.0,7.0,2.0,Male,highly_educated,5.25
15,16483.0,79.0,11.0,6.0,1.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,Female,mid_educated,7.0
16,16484.0,76.0,14.0,6.0,1.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,Female,highly_educated,6.25
17,16485.0,44.0,13.0,1.0,1.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,7.0,6.0,3.0,5.0,7.0,Female,highly_educated,3.75
18,16486.0,40.0,16.0,8.0,1.0,1.0,7.0,7.0,1.0,1.0,4.0,4.0,7.0,6.0,2.0,5.0,3.0,Female,highly_educated,1.75
19,16487.0,45.0,10.0,1.0,1.0,7.0,9.0,9.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,Male,mid_educated,6.75
20,16488.0,33.0,16.0,1.0,1.0,5.0,8.0,8.0,5.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,3.0,Male,highly_educated,4.25
21,16489.0,17.0,4.0,2.0,3.0,3.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,Female,lower_educated,3.75
22,16490.0,86.0,3.0,6.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,7.0,8.0,8.0,7.0,Female,lower_educated,5.25
23,16491.0,34.0,18.0,1.0,1.0,8.0,10.0,9.0,7.0,6.0,7.0,8.0,8.0,8.0,6.0,10.0,9.0,Male,highly_educated,7.0
24,16492.0,81.0,3.0,8.0,1.0,0.0,2.0,7.0,3.0,9.0,1.0,1.0,5.0,9.0,9.0,8.0,6.0,Female,lower_educated,3.25
25,16493.0,21.0,10.0,4.0,1.0,5.0,8.0,9.0,4.0,5.0,5.0,6.0,9.0,9.0,7.0,7.0,5.0,Male,mid_educated,4.75
26,16494.0,74.0,4.0,6.0,1.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,Female,lower_educated,7.25
27,16495.0,23.0,17.0,1.0,1.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,4.0,5.0,6.0,8.0,6.0,Female,highly_educated,6.25
28,16496.0,56.0,16.0,9.0,1.0,6.0,8.0,7.0,5.0,5.0,4.0,7.0,8.0,8.0,7.0,10.0,7.0,Male,highly_educated,5.0
29,16497.0,50.0,10.0,1.0,1.0,3.0,6.0,7.0,3.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,Female,mid_educated,3.5
30,16498.0,61.0,14.0,1.0,1.0,7.0,9.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,3.0,6.0,6.0,Male,highly_educated,6.25
31,16499.0,75.0,4.0,6.0,1.0,4.0,7.0,7.0,5.0,6.0,5.2,5.0,6.0,3.0,6.0,7.0,6.0,Female,lower_educated,5.05
32,16500.0,32.0,6.0,1.0,1.0,8.0,7.0,8.0,7.0,6.0,6.6,6.8,7.0,8.0,6.0,5.0,5.0,Male,mid_educated,6.9
33,16501.0,48.0,14.0,8.0,1.0,7.0,8.0,9.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,6.0,Male,highly_educated,6.0
34,16502.0,41.0,10.0,1.0,3.0,8.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,10.0,8.0,Female,mid_educated,7.5
