,Correlation,P-value
"('trstprt', 'trstplt')",0.8185317602571311,0.0
"('trstplt', 'trstprt')",0.818531760257131,0.0
"('trstprl', 'trstplt')",0.7607675013193979,4.514760601955845e-275
"('trstprl', 'trstprt')",0.7104637049278948,5.667071113835653e-224
"('trstplt', 'trstep')",0.7041317975822061,2.5866986534526416e-218
"('trstprt', 'trstep')",0.6856365561567845,1.2962282955897264e-202
"('trstprl', 'trstep')",0.6812114450755402,4.9712070236291635e-199
"('trstep', 'trstun')",0.6565818777905985,3.4418217594006273e-180
"('trstun', 'trstep')",0.6565818777905984,3.4418217594006273e-180
"('trstprl', 'trstlgl')",0.6528749269746069,1.6592933031723003e-177
"('trstlgl', 'trstprl')",0.6528749269746068,1.6592933031728239e-177
"('trstlgl', 'trstplt')",0.6021887006651082,2.6938779756829854e-144
"('trstlgl', 'trstplc')",0.579065889025022,4.861348343304918e-131
"('trstlgl', 'trstep')",0.5716188055610985,5.420631915652554e-127
"('trstlgl', 'trstprt')",0.5583518708971518,4.9280402178951625e-120
"('trstprt', 'trstun')",0.552868579927131,3.0058099432294654e-117
"('trstun', 'trstplt')",0.5430180241470419,2.256386174464361e-112
"('trstplt', 'trstun')",0.5430180241470418,2.256386174465252e-112
"('trstprl', 'trstun')",0.5304522423290345,2.199137814085156e-106
"('trstun', 'trstlgl')",0.5122796571220314,3.708992336497319e-98
"('trstlgl', 'trstun')",0.5122796571220313,3.708992336497319e-98
"('trstprl', 'trstplc')",0.48535038716684287,7.596853134000247e-87
"('trstplc', 'trstplt')",0.47908968106275424,2.336790945428266e-84
"('trstplt', 'trstplc')",0.4790896810627542,2.336790945428266e-84
"('trstplc', 'trstun')",0.4546474352521705,3.9950649404508693e-75
"('trstplc', 'trstprt')",0.44912206108325825,3.8608951731890415e-73
"('trstplc', 'trstep')",0.42533848122424434,5.308769052378808e-65
